,0
0,2
1,0
2,9
3,9
4,3
5,7
6,0
7,3
8,0
9,3
10,5
11,7
12,4
13,0
14,4
15,3
16,3
17,1
18,9
19,0
20,9
21,1
22,1
23,5
24,7
25,4
26,2
27,7
28,9
29,7
30,7
31,5
32,4
33,2
34,6
35,2
36,5
37,5
38,1
39,6
40,7
41,7
42,4
43,9
44,8
45,7
46,8
47,8
48,6
49,7
50,6
51,8
52,8
53,3
54,8
55,2
56,1
57,2
58,2
59,0
60,4
61,1
62,7
63,0
64,0
65,0
66,1
67,9
68,0
69,1
70,6
71,5
72,8
73,8
74,2
75,8
76,9
77,9
78,2
79,2
80,5
81,9
82,1
83,0
84,9
85,2
86,4
87,3
88,6
89,7
90,2
91,0
92,6
93,6
94,1
95,4
96,3
97,8
98,7
99,4
100,0
101,8
102,2
103,0
104,7
105,3
106,0
107,5
108,0
109,3
110,0
111,0
112,6
113,7
114,1
115,7
116,1
117,1
118,3
119,3
120,3
121,7
122,2
123,8
124,6
125,3
126,8
127,7
128,8
129,4
130,3
131,5
132,6
133,0
134,0
135,0
136,3
137,1
138,3
139,0
140,4
141,3
142,4
143,5
144,5
145,8
146,7
147,7
148,2
149,8
150,4
151,3
152,5
153,6
154,5
155,3
156,7
157,5
158,7
159,8
160,3
161,0
162,4
163,5
164,1
165,2
166,7
167,6
168,3
169,0
170,2
171,7
172,8
173,6
174,1
175,3
176,7
177,4
178,1
179,2
180,4
181,7
182,5
183,2
184,4
185,9
186,2
187,1
188,6
189,0
190,6
191,1
192,4
193,9
194,6
195,0
196,9
197,7
198,6
199,9
200,1
201,9
202,0
203,9
204,9
205,0
206,8
207,4
208,6
209,2
210,0
211,9
212,3
213,6
214,7
215,2
216,1
217,6
218,3
219,4
220,2
221,3
222,1
223,2
224,2
225,8
226,4
227,6
228,1
229,0
230,0
231,4
232,9
233,1
234,7
235,2
236,2
237,2
238,8
239,6
240,8
241,6
242,2
243,8
244,5
245,5
246,4
247,8
248,3
249,6
250,9
251,7
252,1
253,3
254,8
255,4
256,5
257,1
258,4
259,5
260,6
261,3
262,3
263,5
264,7
265,0
266,6
267,8
268,3
269,1
270,6
271,0
272,6
273,3
274,9
275,9
276,1
277,5
278,8
279,4
280,0
281,9
282,2
283,0
284,5
285,3
286,7
287,1
288,9
289,9
290,5
291,7
292,7
293,9
294,9
295,6
296,3
297,0
298,3
299,3
300,6
301,9
302,8
303,2
304,6
305,2
306,7
307,1
308,4
309,5
310,8
311,5
312,9
313,0
314,0
315,3
316,8
317,4
318,1
319,8
320,4
321,1
322,1
323,9
324,8
325,4
326,9
327,1
328,5
329,3
330,6
331,3
332,1
333,2
334,0
335,9
336,0
337,0
338,6
339,0
340,6
341,3
342,1
343,8
344,6
345,0
346,6
347,5
348,2
349,2
350,6
351,7
352,7
353,2
354,9
355,8
356,3
357,9
358,2
359,9
360,8
361,6
362,3
363,8
364,4
365,2
366,3
367,8
368,1
369,6
370,4
371,8
372,7
373,9
374,7
375,6
376,9
377,5
378,3
379,7
380,6
381,5
382,5
383,4
384,2
385,6
386,2
387,1
388,3
389,7
390,1
391,7
392,9
393,9
394,6
395,1
396,1
397,1
398,7
399,3
400,9
401,7
402,6
403,1
404,1
405,1
406,9
407,3
408,8
409,5
410,5
411,0
412,4
413,1
414,2
415,3
416,1
417,1
418,3
419,5
420,9
421,6
422,6
423,5
424,3
425,1
426,4
427,7
428,7
429,7
430,4
431,8
432,5
433,2
434,6
435,1
436,3
437,9
438,5
439,0
440,8
441,4
442,7
443,4
444,4
445,4
446,1
447,5
448,3
449,9
450,5
451,7
452,6
453,9
454,5
455,9
456,7
457,3
458,3
459,6
460,6
461,7
462,5
463,0
464,5
465,1
466,7
467,4
468,4
469,1
470,1
471,4
472,9
473,5
474,6
475,0
476,8
477,3
478,1
479,0
480,4
481,8
482,1
483,2
484,7
485,9
486,4
487,8
488,3
489,7
490,7
491,4
492,2
493,4
494,2
495,7
496,5
497,3
498,2
499,0
500,6
501,5
502,9
503,4
504,1
505,8
506,3
507,3
508,0
509,2
510,7
511,8
512,8
513,7
514,3
515,3
516,5
517,7
518,4
519,3
520,2
521,9
522,0
523,7
524,7
525,1
526,0
527,1
528,1
529,7
530,0
531,5
532,3
533,8
534,5
535,5
536,6
537,5
538,7
539,3
540,0
541,2
542,8
543,2
544,0
545,3
546,0
547,9
548,2
549,1
550,1
551,3
552,0
553,5
554,0
555,0
556,7
557,5
558,6
559,2
560,0
561,3
562,1
563,1
564,6
565,5
566,4
567,1
568,1
569,4
570,6
571,5
572,3
573,6
574,0
575,4
576,8
577,2
578,4
579,2
580,5
581,1
582,7
583,6
584,9
585,1
586,7
587,3
588,8
589,0
590,8
591,8
592,4
593,5
594,3
595,6
596,6
597,6
598,0
599,3
600,5
601,1
602,7
603,1
604,6
605,2
606,8
607,5
608,6
609,4
610,7
611,4
612,3
613,2
614,2
615,4
616,7
617,0
618,0
619,9
620,8
621,5
622,9
623,4
624,0
625,8
626,8
627,3
628,6
629,7
630,6
631,1
632,8
633,6
634,1
635,4
636,7
637,7
638,8
639,3
640,0
641,9
642,9
643,6
644,7
645,2
646,4
647,4
648,1
649,8
650,4
651,8
652,0
653,0
654,8
655,2
656,4
657,3
658,3
659,7
660,2
661,3
662,4
663,0
664,4
665,8
666,1
667,3
668,3
669,6
670,3
671,9
672,4
673,3
674,8
675,7
676,7
677,2
678,6
679,0
680,6
681,9
682,8
683,1
684,1
685,3
686,4
687,6
688,9
689,9
690,2
691,6
692,0
693,1
694,8
695,4
696,3
697,9
698,8
699,8
700,4
701,0
702,5
703,0
704,6
705,0
706,9
707,4
708,6
709,5
710,3
711,8
712,1
713,5
714,7
715,6
716,2
717,3
718,7
719,8
720,9
721,3
722,1
723,0
724,1
725,0
726,6
727,4
728,2
729,5
730,7
731,1
732,3
733,2
734,7
735,7
736,1
737,5
738,1
739,5
740,4
741,4
742,3
743,4
744,3
745,9
746,8
747,7
748,8
749,6
750,4
751,9
752,4
753,4
754,7
755,4
756,7
757,1
758,1
759,8
760,7
761,0
762,4
763,0
764,4
765,0
766,7
767,5
768,1
769,8
770,6
771,5
772,0
773,1
774,5
775,3
776,4
777,6
778,3
779,1
780,1
781,6
782,9
783,8
784,3
785,5
786,5
787,4
788,8
789,8
790,5
791,0
792,4
793,0
794,4
795,3
796,1
797,6
798,9
799,9
800,1
801,1
802,3
803,3
804,1
805,4
806,9
807,6
808,9
809,1
810,5
811,4
812,2
813,3
814,4
815,4
816,0
817,9
818,7
819,4
820,3
821,0
822,5
823,0
824,1
825,9
826,0
827,4
828,4
829,2
830,8
831,8
832,5
833,9
834,3
835,9
836,6
837,1
838,5
839,3
840,1
841,9
842,0
843,8
844,4
845,6
846,7
847,2
848,8
849,5
850,8
851,9
852,7
853,7
854,2
855,8
856,1
857,3
858,4
859,5
860,0
861,4
862,1
863,4
864,2
865,3
866,6
867,9
868,2
869,3
870,4
871,5
872,4
873,2
874,2
875,2
876,1
877,1
878,0
879,1
880,4
881,9
882,1
883,1
884,2
885,7
886,1
887,5
888,4
889,9
890,1
891,7
892,6
893,0
894,4
895,2
896,9
897,9
898,1
899,1
900,5
901,3
902,5
903,7
904,9
905,7
906,8
907,3
908,2
909,7
910,2
911,0
912,4
913,7
914,1
915,6
916,4
917,6
918,1
919,5
920,7
921,3
922,5
923,9
924,4
925,7
926,9
927,6
928,6
929,3
930,3
931,2
932,1
933,4
934,5
935,3
936,7
937,7
938,9
939,5
940,6
941,2
942,6
943,1
944,0
945,9
946,3
947,2
948,9
949,2
950,6
951,7
952,5
953,2
954,3
955,2
956,8
957,3
958,0
959,2
960,7
961,9
962,4
963,0
964,9
965,5
966,1
967,8
968,8
969,5
970,3
971,2
972,9
973,6
974,7
975,0
976,8
977,0
978,7
979,4
980,5
981,8
982,7
983,9
984,7
985,7
986,0
987,5
988,3
989,2
990,1
991,9
992,0
993,6
994,8
995,3
996,6
997,2
998,2
999,9
1000,0
1001,7
1002,0
1003,7
1004,1
1005,3
1006,4
1007,6
1008,3
1009,9
1010,2
1011,6
1012,3
1013,7
1014,3
1015,7
1016,2
1017,3
1018,4
1019,3
1020,5
1021,9
1022,9
1023,6
1024,2
1025,6
1026,1
1027,5
1028,5
1029,1
1030,9
1031,1
1032,8
1033,9
1034,4
1035,8
1036,3
1037,5
1038,2
1039,0
1040,1
1041,6
1042,1
1043,9
1044,6
1045,2
1046,7
1047,7
1048,2
1049,6
1050,2
1051,6
1052,3
1053,5
1054,9
1055,1
1056,1
1057,3
1058,6
1059,3
1060,0
1061,0
1062,6
1063,0
1064,9
1065,4
1066,7
1067,0
1068,5
1069,9
1070,8
1071,8
1072,9
1073,6
1074,9
1075,2
1076,6
1077,1
1078,2
1079,9
1080,3
1081,0
1082,2
1083,5
1084,7
1085,7
1086,6
1087,6
1088,3
1089,1
1090,3
1091,1
1092,0
1093,1
1094,7
1095,6
1096,8
1097,3
1098,3
1099,3
1100,4
1101,2
1102,9
1103,1
1104,8
1105,2
1106,0
1107,6
1108,4
1109,6
1110,7
1111,2
1112,4
1113,1
1114,0
1115,5
1116,2
1117,6
1118,4
1119,9
1120,8
1121,5
1122,4
1123,1
1124,6
1125,3
1126,9
1127,6
1128,1
1129,2
1130,0
1131,5
1132,8
1133,0
1134,3
1135,6
1136,8
1137,7
1138,7
1139,7
1140,6
1141,0
1142,2
1143,1
1144,2
1145,8
1146,4
1147,5
1148,5
1149,3
1150,8
1151,7
1152,8
1153,4
1154,7
1155,4
1156,9
1157,1
1158,8
