,0
0,1.0
1,0.0
2,8.0
3,8.0
4,4.0
5,7.0
6,0.0
7,4.0
8,0.0
9,4.0
10,7.0
11,6.0
12,4.0
13,0.0
14,4.0
15,5.0
16,5.0
17,1.0
18,8.0
19,0.0
20,8.0
21,1.0
22,7.0
23,4.0
24,7.0
25,4.0
26,2.0
27,8.0
28,7.0
29,7.0
30,8.0
31,5.0
32,4.0
33,1.0
34,5.0
35,2.0
36,8.0
37,4.0
38,5.0
39,5.0
40,7.0
41,7.0
42,4.0
43,7.0
44,5.0
45,7.0
46,7.0
47,7.0
48,7.0
49,7.0
50,5.0
51,7.0
52,7.0
53,4.0
54,7.0
55,1.0
56,1.0
57,7.0
58,5.0
59,5.0
60,8.0
61,1.0
62,8.0
63,0.0
64,0.0
65,0.0
66,1.0
67,8.0
68,0.0
69,1.0
70,5.0
71,7.0
72,7.0
73,7.0
74,2.0
75,5.0
76,4.0
77,8.0
78,2.0
79,2.0
80,4.0
81,5.0
82,1.0
83,0.0
84,8.0
85,1.0
86,4.0
87,4.0
88,5.0
89,7.0
90,4.0
91,1.0
92,5.0
93,5.0
94,7.0
95,5.0
96,4.0
97,7.0
98,7.0
99,4.0
100,0.0
101,7.0
102,2.0
103,0.0
104,8.0
105,4.0
106,0.0
107,5.0
108,4.0
109,4.0
110,0.0
111,0.0
112,5.0
113,2.0
114,1.0
115,6.0
116,1.0
117,1.0
118,4.0
119,4.0
120,4.0
121,7.0
122,2.0
123,7.0
124,5.0
125,4.0
126,7.0
127,8.0
128,8.0
129,5.0
130,4.0
131,7.0
132,5.0
133,0.0
134,0.0
135,0.0
136,4.0
137,1.0
138,4.0
139,5.0
140,5.0
141,2.0
142,4.0
143,5.0
144,5.0
145,7.0
146,7.0
147,8.0
148,2.0
149,7.0
150,7.0
151,2.0
152,4.0
153,4.0
154,5.0
155,7.0
156,7.0
157,5.0
158,7.0
159,7.0
160,4.0
161,0.0
162,4.0
163,5.0
164,1.0
165,7.0
166,7.0
167,5.0
168,5.0
169,0.0
170,4.0
171,8.0
172,4.0
173,5.0
174,1.0
175,4.0
176,7.0
177,5.0
178,1.0
179,2.0
180,4.0
181,7.0
182,7.0
183,4.0
184,5.0
185,7.0
186,1.0
187,1.0
188,5.0
189,0.0
190,5.0
191,1.0
192,4.0
193,4.0
194,5.0
195,0.0
196,8.0
197,7.0
198,5.0
199,8.0
200,1.0
201,8.0
202,0.0
203,5.0
204,8.0
205,0.0
206,7.0
207,5.0
208,5.0
209,2.0
210,0.0
211,8.0
212,4.0
213,5.0
214,8.0
215,5.0
216,1.0
217,5.0
218,4.0
219,4.0
220,2.0
221,2.0
222,1.0
223,4.0
224,2.0
225,7.0
226,5.0
227,5.0
228,1.0
229,0.0
230,1.0
231,4.0
232,8.0
233,1.0
234,8.0
235,2.0
236,2.0
237,4.0
238,7.0
239,5.0
240,7.0
241,5.0
242,2.0
243,7.0
244,4.0
245,5.0
246,7.0
247,7.0
248,4.0
249,5.0
250,7.0
251,8.0
252,1.0
253,4.0
254,7.0
255,7.0
256,7.0
257,1.0
258,4.0
259,4.0
260,5.0
261,5.0
262,4.0
263,5.0
264,7.0
265,0.0
266,5.0
267,7.0
268,5.0
269,1.0
270,5.0
271,0.0
272,5.0
273,4.0
274,7.0
275,5.0
276,1.0
277,5.0
278,7.0
279,4.0
280,0.0
281,8.0
282,1.0
283,0.0
284,5.0
285,4.0
286,7.0
287,5.0
288,7.0
289,8.0
290,7.0
291,7.0
292,7.0
293,8.0
294,8.0
295,7.0
296,4.0
297,0.0
298,2.0
299,2.0
300,5.0
301,8.0
302,7.0
303,2.0
304,4.0
305,4.0
306,7.0
307,1.0
308,4.0
309,5.0
310,7.0
311,5.0
312,8.0
313,0.0
314,1.0
315,4.0
316,7.0
317,5.0
318,1.0
319,7.0
320,4.0
321,1.0
322,1.0
323,5.0
324,7.0
325,5.0
326,7.0
327,1.0
328,5.0
329,4.0
330,5.0
331,4.0
332,1.0
333,7.0
334,0.0
335,8.0
336,0.0
337,4.0
338,5.0
339,7.0
340,5.0
341,2.0
342,1.0
343,7.0
344,5.0
345,0.0
346,5.0
347,5.0
348,4.0
349,4.0
350,5.0
351,7.0
352,7.0
353,2.0
354,5.0
355,7.0
356,7.0
357,8.0
358,4.0
359,8.0
360,4.0
361,7.0
362,4.0
363,7.0
364,5.0
365,4.0
366,4.0
367,7.0
368,1.0
369,5.0
370,4.0
371,7.0
372,7.0
373,8.0
374,7.0
375,5.0
376,8.0
377,4.0
378,4.0
379,8.0
380,5.0
381,4.0
382,7.0
383,4.0
384,2.0
385,5.0
386,1.0
387,1.0
388,4.0
389,8.0
390,1.0
391,7.0
392,8.0
393,8.0
394,5.0
395,2.0
396,1.0
397,1.0
398,8.0
399,2.0
400,8.0
