iter	RMSE
0	1.262481216
1	1.19668774
2	1.129384699
3	1.0673992
4	1.014764757
5	0.9706961568
6	0.9225747621
7	0.8850516796
8	0.8495442624
9	0.8175687897
10	0.7809115084
11	0.7537361381
12	0.7270669821
13	0.7061771114
14	0.6853958352
15	0.6659901639
16	0.6473077175
17	0.630005266
18	0.6152281432
19	0.6022178253
20	0.5895789443
21	0.5782374995
22	0.5672204273
23	0.5582078755
24	0.5486875637
25	0.5403401742
26	0.5343154475
27	0.5266495058
28	0.518857645
29	0.5112204786
30	0.5039608656
31	0.4979049382
32	0.4916841429
33	0.4876540224
34	0.4816705574
35	0.4775083032
36	0.4723211801
37	0.4671996009
38	0.4632906045
39	0.4601019322
40	0.4559664374
41	0.4516806165
42	0.4483377843
43	0.4453601594
44	0.4405480222
45	0.4377813798
46	0.4328981333
47	0.4293532558
48	0.4272909613
49	0.4256429788
50	0.423262688
51	0.4191079322
52	0.4149935008
53	0.4108813849
54	0.4070108371
55	0.4048970054
56	0.4029198275
57	0.4002034862
58	0.3967694108
59	0.3942278868
60	0.3916635659
61	0.3890424574
62	0.3859227457
63	0.3838302824
64	0.3818527038
65	0.3781053812
66	0.3759619509
67	0.3741019554
68	0.3722004607
69	0.3682731415
70	0.3675134571
71	0.3660114601
72	0.3641473005
73	0.3613871482
74	0.3608131908
75	0.3586022404
76	0.3557718132
77	0.3533367416
78	0.3516871143
79	0.3500729402
80	0.3488614999
81	0.3470689669
82	0.3457484916
83	0.3433659125
84	0.3411119905
85	0.3396498656
86	0.3379754033
87	0.3367952506
88	0.3350126195
89	0.333765606
90	0.3314109564
91	0.3297352524
92	0.3283809411
93	0.3268200317
94	0.3252608402
95	0.3239510165
96	0.3229066377
97	0.3220420619
98	0.320356098
99	0.3194595565
100	0.3171136762
101	0.316127495
102	0.3135745545
103	0.3118116694
104	0.3112639537
105	0.3093353561
106	0.3083173385
107	0.3074885211
108	0.3062663123
109	0.3050391887
110	0.3037897668
111	0.3017842313
112	0.3004397347
113	0.2989232893
114	0.2980438087
115	0.2961273952
116	0.2945897627
117	0.293237861
118	0.2912195716
119	0.2900912593
120	0.2875008038
121	0.2858317842
122	0.2844210535
123	0.2830542522
124	0.282268511
125	0.2809980757
126	0.2802415848
127	0.278631166
128	0.2778417752
129	0.2761894385
130	0.2745638883
131	0.2737162699
132	0.2728236055
133	0.2724118806
134	0.271157124
135	0.2705342532
136	0.2692759988
137	0.2684198811
138	0.2680306182
139	0.2673764523
140	0.2660659398
141	0.265184796
142	0.26315191
143	0.2619524214
144	0.2608984641
145	0.2605994049
146	0.259415155
147	0.2584054767
148	0.2571478245
149	0.2551102755
150	0.2539454042
151	0.2531533588
152	0.2528564059
153	0.2518265545
154	0.2508626026
155	0.2494549786
156	0.2483836878
157	0.2474831388
158	0.2459201359
159	0.2450058384
160	0.2441188333
161	0.2426050921
162	0.2423461491
163	0.2416785212
164	0.2409291018
165	0.2400565749
166	0.239294751
167	0.2384279734
168	0.2373778083
169	0.2371322737
170	0.2359239441
171	0.2350274053
172	0.2343417536
173	0.2332161516
174	0.2321509193
175	0.2313669939
176	0.2301302421
177	0.2296893036
178	0.2289562763
179	0.2279791676
180	0.2273937029
181	0.2270284737
182	0.2258938419
183	0.2250031742
184	0.2243632588
185	0.2241592615
186	0.2240337255
187	0.2228624265
188	0.2214657327
189	0.2205619421
190	0.219948893
191	0.2191914949
192	0.2182747954
193	0.2175909631
194	0.2169260674
195	0.2160701643
196	0.2154302019
197	0.2144409045
198	0.213675497
199	0.2130345989
200	0.21215545
201	0.2111015843
202	0.2105514111
203	0.2098157988
204	0.2090805491
205	0.2080807626
206	0.2079205077
207	0.2069159858
208	0.206162861
209	0.2052391262
210	0.205035766
211	0.2046643889
212	0.2036288482
213	0.2027383424
214	0.2019121332
215	0.2012021701
216	0.2006717607
217	0.2005407639
218	0.2003631925
219	0.1997198481
220	0.1991794169
221	0.1987116713
222	0.1980166579
223	0.1974126323
224	0.1967170381
225	0.1959407099
226	0.1954795909
227	0.1953157739
228	0.1949420502
229	0.1944658999
230	0.1936251048
231	0.1933605685
232	0.1932303668
233	0.1925368301
234	0.1924377753
235	0.1918123839
236	0.1913878307
237	0.1908252605
238	0.1898806799
239	0.1894326518
240	0.1884544484
241	0.1883280723
242	0.1877156851
243	0.1874778082
244	0.1865302367
245	0.1856589776
