S.No,EmpID,Emp Name,DOJ,Designation,Grade,Attrition ,Location,In Active Date,Tenure,Gender,Education,Age,Last Rating,Monthly Income,Engagement Score (% Satisfaction),Marital Status,Zone,Remarks
1,XYZ2685,ABC1,22-Nov-10,Sales Executive,E1,Yes,Bhavnagar,26-May-12,1. 6 ,Female,Bachelors,27,4,25535,2%,Divorced,West,Issues with the Manager
2,XYZ2490,ABC2,5-Jul-10,Technical Services Officer,M2,Yes,Jayanagar,6-Apr-12,1. 9 ,Male,MBA,36,2,52155,45%,Single ,South,More Challenging Job Roles/ Higher designation
3,XYZ2662,ABC3,20-Oct-10,Sales Executive,E1,Yes,Indore,7-Apr-12,1. 5 ,Male,Bachelors,24,4,26438,18%,Divorced,CENTRAL,Issues with the Manager
4,XYZ1679,ABC4,1 May 08,AM - Sales,M1,Yes,Admin Gujarat,3 Apr 12,3 .11 ,Male,Bachelors,33,2,54311,82%,Single ,West,Lack of Growth
5,XYZ2378,ABC5,3 Mar 10,Sales Executive ,E1,Yes,Jagdishpuram,10 Apr 12,2 .1 ,Male,Bachelors,24,4,26702,49%,Divorced,North,Issues with the Manager
6,XYZ3009,ABC6,17 Nov 11,Sales Executive,E1,Yes,Lalganj,9 Apr 12,0. 4 ,Male,Bachelors,26,4,26291,81%,Single ,North,Better Salary
7,XYZ2783,ABC7,7 Feb 11,Sales Executive ,E1,Yes,Trombay,9 Apr 12,1. 2 ,Male,Bachelors,24,2,26663,2%,Divorced,West,Lack of Growth
8,XYZ2657,ABC8,20 Oct 10,Sales Executive,E1,Yes,Sinahagad,11 Apr 12,1. 5 ,Male,Bachelors,27,3,25633,50%,Married,West,Issues with the Manager
9,XYZ3046,ABC9,1 Feb 12,Sales Executive,E1,Yes,Vasai,5 Apr 12,0. 2 ,Female,Bachelors,26,2,25010,42%,Married,West,Lack of Growth
10,XYZ2845,ABC10,11-Apr-11,Sales Executive,E1,Yes,Kozhikode,21-Apr-12,1. 0 ,Male,Bachelors,26,3,25918,9%,Single ,SOUTH,Issues with the Manager
11,XYZ2194,ABC11,12-Apr-11,Sales Executive,E1,Yes,Haridwar,21-Apr-12,2 .5 ,Male,Bachelors,27,2,25393,71%,Single ,NORTH,Issues with the Manager
12,XYZ2255,ABC12,18-Dec-09,Sales Executive,E1,Yes,Jayanagar,3-May-12,2 .4 ,Male,Bachelors,27,3,25473,75%,Married,South,Issues with the Manager
13,XYZ1055,ABC13,1-Aug-07,Sr Sales Executive,E2,Yes,Kozhikode,19-Apr-12,4 .8 ,Male,Bachelors,28,2,39112,57%,Divorced,SOUTH,Lack of Growth
14,XYZ2828,ABC14,28 Mar 11,Sales Executive ,E1,Yes,Madurai,10 May 12,1. 1 ,Male,Bachelors,25,4,25168,3%,Divorced,South,Issues with the Manager
15,XYZ2860,ABC15,11 Jan 10,Sales Executive,E1,Yes,Jammu,19 Apr 12,2 .3 ,Male,Bachelors,25,4,26969,55%,Single ,North,Lack of Growth
16,XYZ2812,ABC16,14 Mar 11,Sales Executive,E1,Yes,Madurai,9 May 12,1. 1 ,Female,Bachelors,26,4,26266,53%,Single ,South,Lack of Growth
17,XYZ3036,ABC17,20-Jan-12,Technical Services Officer,M2,Yes,Dehradun,5-Apr-12,0. 2 ,Male,MBA,39,3,54087,45%,Single ,North,Better Salary
